deputado_id,switch_date,effect,abs_effect,n_pre,n_post,ideology_distance,direction,crosses_coalition,tenure_years,experience_cat,new_party_size,party_size_cat,vulnerability,old_CAT,new_CAT
74683,2003-06-03 11:05:00+00:00,-0.04301131577089262,0.04301131577089262,11,37,,Unknown,False,4.16,Junior,67,Major,Low,,Center
74742,2007-04-23 00:00:00+00:00,-0.011878853114693763,0.011878853114693763,14,21,0.02200000000000002,Unknown,False,19.82,Senior,62,Major,Low,Right,Right
74753,2003-07-14 19:56:00+00:00,-0.02082573117068661,0.02082573117068661,15,5,,Unknown,False,14.08,Senior,0,Minor,Low,Center,
74753,2003-08-07 17:36:00+00:00,-0.02082573117068661,0.02082573117068661,15,5,,Unknown,False,14.08,Senior,55,Major,Low,,Right
74753,2005-07-07 10:55:00+00:00,-0.02082573117068661,0.02082573117068661,15,5,,Unknown,False,14.08,Senior,0,Minor,Low,Right,
74753,2005-09-22 17:29:00+00:00,-0.02082573117068661,0.02082573117068661,15,5,,Unknown,False,14.08,Senior,49,Major,Low,,Right
74763,2005-09-22 11:01:00+00:00,-0.08556122260979174,0.08556122260979174,18,17,,Unknown,False,14.23,Senior,0,Minor,Low,Left,
74763,2005-09-27 11:57:00+00:00,-0.08556122260979174,0.08556122260979174,18,17,,Unknown,False,14.23,Senior,20,Medium,Low,,Left
74771,2003-07-03 17:03:00+00:00,-0.041261860222861366,0.041261860222861366,38,36,,Unknown,False,8.245000000000001,Mid,0,Minor,Low,Center,
74771,2003-08-05 21:14:00+00:00,-0.041261860222861366,0.041261860222861366,38,36,,Unknown,False,8.245000000000001,Mid,48,Major,Low,,Right
74776,2003-06-02 00:00:00+00:00,2.4679807752068952e-05,2.4679807752068952e-05,8,33,0.11499999999999999,Unknown,False,12.19,Senior,48,Major,Low,Right,Right
74777,2009-10-27 00:00:00+00:00,-0.03681588786421121,0.03681588786421121,44,35,0.02499999999999998,Unknown,False,22.345,Senior,61,Major,Low,Center,Center
