id,uri,nome,nomeEleitoral,siglaPartido,uriPartido,siglaUf,idLegislatura,email,urlFoto,dataHora,situacao,condicaoEleitoral,descricaoStatus,deputado_id,idLegislatura_inicial,data_inicio_carreira,partido_inicio_carreira,condicao_eleitoral_inicial
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2014-06-06T14:41,Exercício,Suplente,Entrada - Reassunção,161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2014-06-06T14:41,Convocado,Efetivado,Diverso - Alteração na Situação - Efetivação (Ato da Presidência),161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2015-01-31T23:59,Fim de Mandato,Efetivado,Saída - Afastamento definitivo - Término da Legislatura,161907,54,2011-02-01T00:00,PRB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2007-02-01T00:00,,,Nome no início da legislatura / Partido no início da legislatura,143254,53,2007-02-01T00:00,PMDB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2007-03-19T00:00,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente - Aguardando Convocação de Suplente,143254,53,2007-02-01T00:00,PMDB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2007-03-19T00:00,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente,143254,53,2007-02-01T00:00,PMDB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2007-03-20T00:00,Exercício,Suplente,Entrada - Posse de Suplente - Posse como Suplente,143254,53,2007-02-01T00:00,PMDB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2007-08-01T00:00,Licença,Suplente,Saída - Afastamento sem prazo determinado - Secretário de Estado - Desenvolvimento Regional de Criciúma,143254,53,2007-02-01T00:00,PMDB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2008-06-05T00:00,Suplência,Suplente,Diverso - Alteração na Situação - Deixa a Condição de Licenciado (automático),143254,53,2007-02-01T00:00,PMDB,
143254,https://dadosabertos.camara.leg.br/api/v2/deputados/143254,ACÉLIO CASAGRANDE,ACÉLIO CASAGRANDE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,SC,53,,https://www.camara.leg.br/internet/deputado/bandep/143254.jpg,2008-06-19T18:09,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente - Aguardando Convocação de Suplente,143254,53,2007-02-01T00:00,PMDB,
