id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
74213,https://dadosabertos.camara.leg.br/api/v2/deputados/74213,ANTONIO BALHMANN,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,CE,54,https://www.camara.leg.br/internet/deputado/bandep/74213.jpg,
74213,https://dadosabertos.camara.leg.br/api/v2/deputados/74213,ANTONIO BALHMANN,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,55,https://www.camara.leg.br/internet/deputado/bandep/74213.jpg,
74213,https://dadosabertos.camara.leg.br/api/v2/deputados/74213,ANTONIO BALHMANN,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,55,https://www.camara.leg.br/internet/deputado/bandep/74213.jpg,
160553,https://dadosabertos.camara.leg.br/api/v2/deputados/160553,ANTONIO BRITO,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,BA,54,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg,
160553,https://dadosabertos.camara.leg.br/api/v2/deputados/160553,ANTONIO BRITO,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,BA,55,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg,
160553,https://dadosabertos.camara.leg.br/api/v2/deputados/160553,ANTONIO BRITO,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,BA,55,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg,
160553,https://dadosabertos.camara.leg.br/api/v2/deputados/160553,Antonio Brito,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,BA,56,https://www.camara.leg.br/internet/deputado/bandep/160553.jpg,
141383,https://dadosabertos.camara.leg.br/api/v2/deputados/141383,ANTONIO BULHÕES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,SP,53,https://www.camara.leg.br/internet/deputado/bandep/141383.jpg,
141383,https://dadosabertos.camara.leg.br/api/v2/deputados/141383,ANTONIO BULHÕES,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,SP,53,https://www.camara.leg.br/internet/deputado/bandep/141383.jpg,
141383,https://dadosabertos.camara.leg.br/api/v2/deputados/141383,ANTONIO BULHÕES,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,SP,54,https://www.camara.leg.br/internet/deputado/bandep/141383.jpg,
141383,https://dadosabertos.camara.leg.br/api/v2/deputados/141383,ANTONIO BULHÕES,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,SP,55,https://www.camara.leg.br/internet/deputado/bandep/141383.jpg,
