deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,group,vocab_shift
141400,2013-10-04 11:23:00+00:00,Left,Left,49,65,0.89021754,0.8495266,0.04069096,0.5716891900760604,0.6783646217832316,-0.1066754317071712,0.006205779933991591,0.015244101828394124,0.011450388411701918,0.005968800382269592,0.009038321894402533,-0.005481588029432326,control,-0.01451990992383486
141400,2011-10-26 12:04:00+00:00,Left,Left,23,17,0.8840371,0.8893773,-0.0053402185,0.732949585802945,0.62590180917139,0.10704777663155496,0.020115697373982007,0.0269748425715489,0.004327396580612078,0.0032321350066176527,0.006859145197566894,-0.0010952615739944255,control,-0.007954406771561319
141400,2011-10-26 12:06:00+00:00,Left,Left,23,17,0.8840371,0.8893773,-0.0053402185,0.732949585802945,0.62590180917139,0.10704777663155496,0.020115697373982007,0.0269748425715489,0.004327396580612078,0.0032321350066176527,0.006859145197566894,-0.0010952615739944255,control,-0.007954406771561319
141400,2013-10-02 13:01:00+00:00,Left,Left,49,65,0.89021754,0.8495266,0.04069096,0.5716891900760604,0.6783646217832316,-0.1066754317071712,0.006205779933991591,0.015244101828394124,0.011450388411701918,0.005968800382269592,0.009038321894402533,-0.005481588029432326,control,-0.01451990992383486
141400,2011-10-26 12:00:00+00:00,Left,Left,23,17,0.8840371,0.8893773,-0.0053402185,0.732949585802945,0.62590180917139,0.10704777663155496,0.020115697373982007,0.0269748425715489,0.004327396580612078,0.0032321350066176527,0.006859145197566894,-0.0010952615739944255,control,-0.007954406771561319
74835,2005-01-27 11:23:00+00:00,Left,Left,48,26,0.87150604,0.8817371,-0.010231078,0.6072850405865654,0.5364654335574113,0.07081960702915413,0.01055278835649708,0.015060341054750744,0.007115375895181758,0.020413360879052007,0.004507552698253663,0.013297984983870248,control,0.008790432285616585
74835,2007-04-23 00:00:00+00:00,Left,Left,39,65,0.87681395,0.8933203,-0.016506374,0.5192061979028105,0.6675276314315225,-0.14832143352871197,0.014926135858843117,0.020066600056395368,0.006344029479170607,0.009165916095763402,0.0051404641975522514,0.002821886616592795,control,-0.0023185775809594564
74835,2005-02-11 13:29:00+00:00,Left,Left,44,30,0.8706335,0.8803409,-0.009707391,0.6199444604102817,0.5297004387082076,0.09024402170207413,0.010934320734052283,0.013199788206152708,0.006713277200338141,0.025557361139426193,0.002265467472100425,0.01884408393908805,control,0.016578616466987627
74835,2007-01-25 00:00:00+00:00,Left,Left,16,82,0.8757207,0.8850506,-0.009329915,0.5883177303310736,0.622679831519069,-0.03436210118799543,0.003388888888888889,0.019383786043264867,0.008329028925619835,0.007627654143544322,0.015994897154375978,-0.0007013747820755131,control,-0.01669627193645149
74835,2005-02-22 13:02:00+00:00,Left,Left,43,33,0.87282693,0.87856233,-0.0057353973,0.6126285043614819,0.550466908644544,0.06216159571693791,0.011188607262751173,0.012673208133539497,0.0068693999259274,0.02323396467220563,0.0014846008707883242,0.016364564746278232,control,0.014879963875489908
73561,2005-02-14 10:06:00+00:00,Left,Left,10,43,0.89939153,0.89803135,0.001360178,0.5757168768083256,0.5894553065937688,-0.013738429785443151,0.0015679158341149126,0.005188797644634305,0.003816205084912013,0.0074070960756762215,0.0036208818105193928,0.0035908909907642083,control,-2.9990819755184445e-05
73561,2005-03-22 15:17:00+00:00,Left,Left,14,40,0.8982841,0.89586955,0.0024145246,0.5974047620490573,0.5744082488883573,0.02299651316070006,0.0025449383219863725,0.0049653600152357895,0.0027297034658516667,0.007182057243129031,0.002420421693249417,0.004452353777277365,control,0.002031932084027948
73561,2005-09-22 00:00:00+00:00,Left,Left,27,32,0.8991168,0.8820702,0.01704663,0.5978880754637776,0.5808095113651285,0.017078564098649163,0.004596824570838617,0.003499517539817857,0.005395577633697346,0.007868416745049215,-0.0010973070310207602,0.002472839111351869,control,0.003570146142372629
73561,2005-08-30 19:09:00+00:00,Left,Left,25,34,0.8998265,0.882551,0.017275512,0.6018322383640071,0.5789140130031154,0.02291822536089172,0.004964570536505706,0.0032936635668873947,0.0057299002434198975,0.00747713017252664,-0.0016709069696183112,0.0017472299291067424,control,0.0034181368987250536
73561,2005-10-05 10:34:00+00:00,Left,Left,34,25,0.89865834,0.8779204,0.020737946,0.5799972068172891,0.6003590947767311,-0.02036188795944205,0.005657631494423307,0.0017495741550568663,0.007679354337043618,0.005454875379676804,-0.003908057339366441,-0.0022244789573668136,control,0.001683578381999627
74145,2005-02-16 12:42:00+00:00,Left,Left,17,17,0.8952966,0.89610946,-0.00081288815,0.8002134834135807,0.8187376334849364,-0.01852415007135577,0.010242035566619723,0.01856262480472163,0.007317227282610623,0.0018108863993066735,0.008320589238101906,-0.005506340883303949,control,-0.013826930121405855
74145,2005-02-18 17:18:00+00:00,Left,Left,17,17,0.8952966,0.89610946,-0.00081288815,0.8002134834135807,0.8187376334849364,-0.01852415007135577,0.010242035566619723,0.01856262480472163,0.007317227282610623,0.0018108863993066735,0.008320589238101906,-0.005506340883303949,control,-0.013826930121405855
74145,2005-02-14 10:06:00+00:00,Left,Left,17,17,0.8952966,0.89610946,-0.00081288815,0.8002134834135807,0.8187376334849364,-0.01852415007135577,0.010242035566619723,0.01856262480472163,0.007317227282610623,0.0018108863993066735,0.008320589238101906,-0.005506340883303949,control,-0.013826930121405855
74145,2007-03-12 12:36:00+00:00,Left,Left,12,25,0.85442024,0.83069015,0.0237301,0.7340140815574491,0.7282958004675545,0.0057182810898945835,0.01762110787799874,0.00881185019177915,0.008569388640726717,0.014941864325026737,-0.00880925768621959,0.00637247568430002,control,0.01518173337051961
74145,2007-08-21 18:32:00+00:00,Left,Left,13,26,0.8397137,0.85239697,-0.012683272,0.747483119730911,0.7267843842216568,0.020698735509254163,0.004643641558595764,0.02678842917519241,0.02178036356928568,0.009719051245787928,0.022144787616596648,-0.012061312323497754,control,-0.0342060999400944
160644,2013-10-08 16:30:00+00:00,Left,Left,39,26,0.86386967,0.86895806,-0.005088389,0.6250803888740566,0.6863935596890033,-0.061313170814946694,0.01115271171823276,0.01153740448667907,0.002735332614553658,0.0042537562634712206,0.00038469276844630904,0.0015184236489175626,control,0.0011337308804712535
160644,2013-10-09 09:46:00+00:00,Left,Left,39,26,0.86386967,0.86895806,-0.005088389,0.6250803888740566,0.6863935596890033,-0.061313170814946694,0.01115271171823276,0.01153740448667907,0.002735332614553658,0.0042537562634712206,0.00038469276844630904,0.0015184236489175626,control,0.0011337308804712535
160644,2013-10-01 17:58:00+00:00,Left,Left,39,28,0.86153245,0.8700648,-0.008532345,0.612030860322935,0.6768273036976739,-0.06479644337473889,0.008903498942704199,0.013846136246402494,0.004647163473752938,0.0042631997383861826,0.004942637303698295,-0.0003839637353667555,control,-0.005326601039065051
160644,2013-08-20 12:22:00+00:00,Left,Left,31,39,0.8568998,0.8721771,-0.015277326,0.6067418849311683,0.6578637862268547,-0.05112190129568639,0.008267229216643818,0.014833048421683835,0.006718091484471432,0.003651980430386892,0.006565819205040017,-0.0030661110540845405,control,-0.009631930259124557
160644,2013-10-03 16:48:00+00:00,Left,Left,40,27,0.863052,0.8681297,-0.00507766,0.6081544329646368,0.6849700273164394,-0.07681559435180263,0.008680911469136594,0.014358956107380364,0.004530984386909115,0.004421096024993079,0.0056780446382437705,-0.00010988836191603603,control,-0.0057879330001598065
73893,2006-01-30 17:51:00+00:00,Left,Left,32,11,0.8350328,0.8306891,0.004343748,0.533712899535865,0.614134696645453,-0.08042179710958797,0.024311722718411075,0.0018552875695732837,0.002967484889953244,0.0018552875695732837,-0.02245643514883779,-0.0011121973203799605,control,0.02134423782845783
73893,2005-02-14 17:24:00+00:00,Left,Left,30,33,0.82942504,0.8360238,-0.0065987706,0.5426506362726907,0.5423958762662894,0.00025476000640134444,0.007428451178451177,0.024193433038013957,0.003984304426377597,0.0034959902952669676,0.01676498185956278,-0.000488314131110629,control,-0.01725329599067341
160569,2018-04-04 17:07:00+00:00,Left,Left,60,38,0.87943596,0.86938256,0.010053396,0.7861658626950311,0.8261679186208983,-0.04000205592586725,0.026632722957006128,0.043016730655000376,0.011412735760181706,0.014734761384650274,0.016384007697994248,0.003322025624468568,control,-0.01306198207352568
160569,2016-03-17 16:39:00+00:00,Left,Left,44,51,0.86689186,0.88187945,-0.014987588,0.7510468166071469,0.8213309462913445,-0.07028412968419762,0.022528151247075988,0.03549047104925046,0.018187562715049437,0.009309221032532521,0.012962319802174473,-0.008878341682516916,control,-0.02184066148469139
